postcode,stroke_team,ssnap_name,use_ivt,use_mt,use_msu,transfer_unit_postcode,lsoa,lsoa_code,region,region_code,region_type,country,icb,icb_code,isdn
NG72UH,Queen's Medical Centre - Nottingham,Queen's Medical Centre - Nottingham,1,1,1,nearest,Nottingham 031I,E01033410,NHS Nottingham and Nottinghamshire ICB - 52R,E38000243,SICBL,England,NHS Nottingham and Nottinghamshire Integrated Care Board,E54000060,East Midlands
NG51PB,Nottingham City Hospital,None (for 72h care),0,0,0,nearest,Nottingham 007E,E01013967,NHS Nottingham and Nottinghamshire ICB - 52R,E38000243,SICBL,England,NHS Nottingham and Nottinghamshire Integrated Care Board,E54000060,East Midlands
NG174JL,"Kings Mill Hospital, Mansfield",Kings Mill Hospital,1,0,0,nearest,Ashfield 004E,E01027985,NHS Nottingham and Nottinghamshire ICB - 52R,E38000243,SICBL,England,NHS Nottingham and Nottinghamshire Integrated Care Board,E54000060,East Midlands
LN25QY,Lincoln County Hospital,Lincoln County Hospital,1,0,0,nearest,Lincoln 003A,E01026125,NHS Lincolnshire ICB - 71E,E38000238,SICBL,England,NHS Lincolnshire Integrated Care Board,E54000013,East Midlands
PE219QS,"Pilgrim Hospital, Boston",Pilgrim Hospital,0,0,0,nearest,Boston 003B,E01026021,NHS Lincolnshire ICB - 71E,E38000238,SICBL,England,NHS Lincolnshire Integrated Care Board,E54000013,East Midlands
LE15WW,Leicester Royal Infirmary,Leicester Royal Infirmary,1,0,0,nearest,Leicester 040B,E01013647,"NHS Leicester, Leicestershire and Rutland ICB - 04C",E38000097,SICBL,England,"NHS Leicester, Leicestershire and Rutland Integrated Care Board",E54000015,East Midlands
SS165NL,Basildon University Hospital,Basildon University Hospital,1,0,0,nearest,Basildon 020D,E01021297,NHS Mid and South Essex ICB - 99E,E38000007,SICBL,England,NHS Mid and South Essex Integrated Care Board,E54000026,East of England (South)
MK429DJ,Bedford Hospital,Bedford Hospital,0,0,0,nearest,Bedford 015B,E01017473,"NHS Bedfordshire, Luton and Milton Keynes ICB - M1J4Y",E38000249,SICBL,England,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",E54000024,East of England (South)
CB20QQ,"Addenbrooke's Hospital, Cambridge",Addenbrooke's Hospital,1,1,1,nearest,Cambridge 013D,E01017995,NHS Cambridgeshire and Peterborough ICB - 06H,E38000260,SICBL,England,NHS Cambridgeshire and Peterborough Integrated Care Board,E54000056,East of England (South)
CO45JL,Colchester General Hospital,Colchester General Hospital,1,0,0,nearest,Colchester 004D,E01021682,NHS Suffolk and North East Essex ICB - 06T,E38000117,SICBL,England,NHS Suffolk and North East Essex Integrated Care Board,E54000023,East of England (North)
SG14AB,"Lister Hospital, Stevenage",Lister Hospital,1,0,0,nearest,Stevenage 002E,E01023800,NHS Hertfordshire and West Essex ICB - 06K,E38000049,SICBL,England,NHS Hertfordshire and West Essex Integrated Care Board,E54000025,East of England (South)
IP45PD,Ipswich Hospital,Ipswich Hospital,1,0,0,nearest,Ipswich 009B,E01029964,NHS Suffolk and North East Essex ICB - 06L,E38000086,SICBL,England,NHS Suffolk and North East Essex Integrated Care Board,E54000023,East of England (North)
NR316LA,"James Paget Hospitals, Great Yarmouth",James Paget Hospital,1,0,0,nearest,Great Yarmouth 011A,E01026617,NHS Norfolk and Waveney ICB - 26A,E38000239,SICBL,England,NHS Norfolk and Waveney Integrated Care Board,E54000022,East of England (North)
LU40DZ,Luton and Dunstable Hospital,Luton and Dunstable Hospital,1,0,0,nearest,Luton 013A,E01015713,"NHS Bedfordshire, Luton and Milton Keynes ICB - M1J4Y",E38000249,SICBL,England,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",E54000024,East of England (South)
CM17ET,"Broomfield Hospital, Chelmsford",Broomfield Hospital,1,0,0,nearest,Chelmsford 002A,E01021542,NHS Mid and South Essex ICB - 06Q,E38000106,SICBL,England,NHS Mid and South Essex Integrated Care Board,E54000026,East of England (South)
NR47UY,Norfolk and Norwich University Hospital,Norfolk and Norwich University Hospital,1,0,0,nearest,South Norfolk 002C,E01026883,NHS Norfolk and Waveney ICB - 26A,E38000239,SICBL,England,NHS Norfolk and Waveney Integrated Care Board,E54000022,East of England (North)
PE39GZ,Peterborough City Hospital,Peterborough City Hospital,1,0,0,nearest,Peterborough 015E,E01015691,NHS Cambridgeshire and Peterborough ICB - 06H,E38000260,SICBL,England,NHS Cambridgeshire and Peterborough Integrated Care Board,E54000056,East of England (South)
PE304ET,"Queen Elizabeth Hospital, Kings Lynn",Queen Elizabeth Hospital Kings Lynn,1,0,0,nearest,King's Lynn and West Norfolk 010D,E01026714,NHS Norfolk and Waveney ICB - 26A,E38000239,SICBL,England,NHS Norfolk and Waveney Integrated Care Board,E54000022,East of England (North)
SS00RY,Southend Hospital,Southend Hospital,1,0,0,nearest,Southend-on-Sea 004D,E01015860,NHS Mid and South Essex ICB - 99G,E38000168,SICBL,England,NHS Mid and South Essex Integrated Care Board,E54000026,East of England (South)
WD180HB,Watford General Hospital,Watford General Hospital,1,0,0,nearest,Watford 010C,E01023901,NHS Hertfordshire and West Essex ICB - 06N,E38000079,SICBL,England,NHS Hertfordshire and West Essex Integrated Care Board,E54000025,East of England (South)
IP332QZ,"West Suffolk Hospital, Bury St Edmunds",West Suffolk Hospital,1,0,0,nearest,St Edmundsbury 009B,E01030142,NHS Suffolk and North East Essex ICB - 07K,E38000204,SICBL,England,NHS Suffolk and North East Essex Integrated Care Board,E54000023,East of England (North)
DE130RB,"Queens Hospital, Burton upon Trent",Queens Hospital Burton upon Trent,0,0,0,nearest,East Staffordshire 007B,E01029435,NHS Staffordshire and Stoke-on-Trent ICB - 05D,E38000053,SICBL,England,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,E54000010,North Midlands
DY12HQ,Russells Hall Hospital,Russells Hall Hospital,1,0,0,nearest,Dudley 013D,E01009884,NHS Black Country ICB - D2P2L,E38000259,SICBL,England,NHS Black Country Integrated Care Board,E54000062,North Midlands
CV107DJ,"George Eliot Hospital, Nuneaton",George Eliot Hospital,0,0,0,nearest,Nuneaton and Bedworth 008B,E01031049,NHS Coventry and Warwickshire ICB - B2M3M,E38000251,SICBL,England,NHS Coventry and Warwickshire Integrated Care Board,E54000018,West Midlands
B95SS,Birmingham Heartlands Hospital,Birmingham Heartlands Hospital,0,0,0,nearest,Birmingham 066E,E01009341,NHS Birmingham and Solihull ICB - 15E,E38000258,SICBL,England,NHS Birmingham and Solihull Integrated Care Board,E54000055,West Midlands
WV100QP,"New Cross Hospital, Wolverhampton",New Cross Hospital,1,0,0,nearest,Wolverhampton 015E,E01010476,NHS Black Country ICB - D2P2L,E38000259,SICBL,England,NHS Black Country Integrated Care Board,E54000062,North Midlands
B714HJ,"Sandwell District Hospital, West Bromwich",Sandwell District Hospital,1,0,0,nearest,Sandwell 017E,E01010104,NHS Black Country ICB - D2P2L,E38000259,SICBL,England,NHS Black Country Integrated Care Board,E54000062,North Midlands
TF16TF,"Princess Royal Hospital, Telford",Princess Royal Hospital Telford,1,0,0,nearest,Telford and Wrekin 007A,E01014102,"NHS Shropshire, Telford and Wrekin ICB - M2L0M",E38000257,SICBL,England,"NHS Shropshire, Telford and Wrekin Integrated Care Board",E54000011,North Midlands
CV345BW,Warwick Hospital,Warwick Hospital,0,0,0,nearest,Warwick 011C,E01031323,NHS Coventry and Warwickshire ICB - B2M3M,E38000251,SICBL,England,NHS Coventry and Warwickshire Integrated Care Board,E54000018,West Midlands
B152TH,"Queen Elizabeth Hospital, Birmingham",Queen Elizabeth Hospital Edgbaston,1,1,1,nearest,Birmingham 087F,E01033562,NHS Birmingham and Solihull ICB - 15E,E38000258,SICBL,England,NHS Birmingham and Solihull Integrated Care Board,E54000055,West Midlands
CV22DX,"University Hospital, Coventry",University Hospital Coventry,1,1,1,nearest,Coventry 019A,E01009580,NHS Coventry and Warwickshire ICB - B2M3M,E38000251,SICBL,England,NHS Coventry and Warwickshire Integrated Care Board,E54000018,West Midlands
ST46QG,Royal Stoke University Hospital,Royal Stoke University Hospital,1,1,1,nearest,Stoke-on-Trent 018F,E01014294,NHS Staffordshire and Stoke-on-Trent ICB - 05W,E38000175,SICBL,England,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,E54000010,North Midlands
WS29PS,"Manor Hospital, Walsall",None (for 72h care),0,0,0,nearest,Walsall 026D,E01010363,NHS Black Country ICB - D2P2L,E38000259,SICBL,England,NHS Black Country Integrated Care Board,E54000062,North Midlands
WR51DD,"Worcestershire Royal Hospital, Worcester",Worcestershire Royal Hospital,1,0,0,nearest,Worcester 010D,E01032309,NHS Herefordshire and Worcestershire ICB - 18C,E38000236,SICBL,England,NHS Herefordshire and Worcestershire Integrated Care Board,E54000019,West Midlands
HR12ER,Hereford County Hospital,Hereford County Hospital,1,0,0,nearest,Herefordshire 012D,E01014011,NHS Herefordshire and Worcestershire ICB - 18C,E38000236,SICBL,England,NHS Herefordshire and Worcestershire Integrated Care Board,E54000019,West Midlands
L97AL,"University Hospital Aintree, Liverpool",University Hospital Aintree,1,1,1,nearest,Liverpool 005A,E01006654,NHS Cheshire and Merseyside ICB - 99A,E38000101,SICBL,England,NHS Cheshire and Merseyside Integrated Care Board,E54000008,Cheshire and Merseyside
CH21UL,"Countess of Chester Hospital, Chester",Countess of Chester Hospital,1,0,0,nearest,Cheshire West and Chester 028F,E01018377,NHS Cheshire and Merseyside ICB - 27D,E38000233,SICBL,England,NHS Cheshire and Merseyside Integrated Care Board,E54000008,Cheshire and Merseyside
CW14QJ,"Leighton Hospital, Crewe",Leighton Hospital,1,0,0,nearest,Cheshire East 049B,E01018480,NHS Cheshire and Merseyside ICB - 27D,E38000233,SICBL,England,NHS Cheshire and Merseyside Integrated Care Board,E54000008,Cheshire and Merseyside
L78XP,Royal Liverpool University Hospital,Royal Liverpool University Hospital,0,0,0,nearest,Liverpool 031B,E01006747,NHS Cheshire and Merseyside ICB - 99A,E38000101,SICBL,England,NHS Cheshire and Merseyside Integrated Care Board,E54000008,Cheshire and Merseyside
PR86PN,Southport and Formby District General,Southport and Formby District General,0,0,0,nearest,Sefton 008C,E01006999,NHS Cheshire and Merseyside ICB - 01V,E38000170,SICBL,England,NHS Cheshire and Merseyside Integrated Care Board,E54000008,Cheshire and Merseyside
L355DR,"Whiston Hospital, Prescot",Whiston Hospital HASU,1,0,0,nearest,Knowsley 009E,E01006499,NHS Cheshire and Merseyside ICB - 01J,E38000091,SICBL,England,NHS Cheshire and Merseyside Integrated Care Board,E54000008,Cheshire and Merseyside
WA51QG,Warrington Hospital,Warrington Hospital,0,0,0,nearest,Warrington 013D,E01012457,NHS Cheshire and Merseyside ICB - 02E,E38000194,SICBL,England,NHS Cheshire and Merseyside Integrated Care Board,E54000008,Cheshire and Merseyside
CH495PE,"Arrowe Park Hospital, Wirral",Wirral Arrowe Park Hospital,1,0,0,nearest,Wirral 025B,E01007251,NHS Cheshire and Merseyside ICB - 12F,E38000208,SICBL,England,NHS Cheshire and Merseyside Integrated Care Board,E54000008,Cheshire and Merseyside
FY38NR,Blackpool Teaching Hospitals NHS Foundation Trust,Blackpool Victoria Hospital,1,0,0,nearest,Blackpool 009F,E01012722,NHS Lancashire and South Cumbria ICB - 00R,E38000015,SICBL,England,NHS Lancashire and South Cumbria Integrated Care Board,E54000048,Lancashire and South Cumbria
BB23HH,East Lancashire Hospitals NHS Trust,Royal Blackburn Hospital,1,0,0,nearest,Blackburn with Darwen 011F,E01012632,NHS Lancashire and South Cumbria ICB - 00Q,E38000014,SICBL,England,NHS Lancashire and South Cumbria Integrated Care Board,E54000048,Lancashire and South Cumbria
PR29HT,Lancashire Teaching Hospitals NHS Foundation Trust,Royal Preston Hospital,1,1,1,nearest,Preston 004D,E01025300,NHS Lancashire and South Cumbria ICB - 01E,E38000227,SICBL,England,NHS Lancashire and South Cumbria Integrated Care Board,E54000048,Lancashire and South Cumbria
BL97TD,Pennine Acute Hospitals NHS Trust,Fairfield General Hospital,1,0,0,nearest,Bury 007A,E01004954,NHS Greater Manchester ICB - 00V,E38000024,SICBL,England,NHS Greater Manchester Integrated Care Board,E54000057,Greater Manchester
M68HD,Salford Royal NHS Foundation Trust,Salford Royal Hospital,1,1,1,nearest,Salford 021C,E01005719,NHS Greater Manchester ICB - 01G,E38000143,SICBL,England,NHS Greater Manchester Integrated Care Board,E54000057,Greater Manchester
SK27JE,Stockport NHS Foundation Trust,Stepping Hill Hospital,1,0,0,nearest,Stockport 027B,E01005801,NHS Greater Manchester ICB - 01W,E38000174,SICBL,England,NHS Greater Manchester Integrated Care Board,E54000057,Greater Manchester
LA144LF,University Hospitals of Morecambe Bay NHS Foundation Trust,Furness General Hospital,1,0,0,nearest,Barrow-in-Furness 003D,E01019155,NHS Lancashire and South Cumbria ICB - 01K,E38000228,SICBL,England,NHS Lancashire and South Cumbria Integrated Care Board,E54000048,Lancashire and South Cumbria
LA14RP,University Hospitals of Morecambe Bay NHS Foundation Trust,Royal Lancaster Infirmary,1,0,0,nearest,Lancaster 014F,E01033073,NHS Lancashire and South Cumbria ICB - 01K,E38000228,SICBL,England,NHS Lancashire and South Cumbria Integrated Care Board,E54000048,Lancashire and South Cumbria
SR47TP,Sunderland Royal Hospital,Sunderland Royal Hospital,1,0,0,nearest,Sunderland 011B,E01008704,NHS North East and North Cumbria ICB - 00P,E38000176,SICBL,England,NHS North East and North Cumbria Integrated Care Board,E54000050,North East and Cumbria
DH15TW,University Hospital of North Durham,University Hospital of North Durham,1,0,0,nearest,County Durham 033B,E01020702,NHS North East and North Cumbria ICB - 84H,E38000234,SICBL,England,NHS North East and North Cumbria Integrated Care Board,E54000050,North East and Cumbria
NE96SX,"Queen Elizabeth Hospital, Gateshead",None (for 72h care),0,0,0,nearest,Gateshead 016A,E01008219,NHS North East and North Cumbria ICB - 13T,E38000212,SICBL,England,NHS North East and North Cumbria Integrated Care Board,E54000050,North East and Cumbria
NE14LP,"Royal Victoria Infirmary, Newcastle",Royal Victoria Infirmary,1,1,1,nearest,Newcastle upon Tyne 024B,E01008395,NHS North East and North Cumbria ICB - 13T,E38000212,SICBL,England,NHS North East and North Cumbria Integrated Care Board,E54000050,North East and Cumbria
CA27HY,"Cumberland Infirmary, Carlisle",Cumberland Infirmary,1,0,0,nearest,Carlisle 008A,E01019205,NHS North East and North Cumbria ICB - 01H,E38000215,SICBL,England,NHS North East and North Cumbria Integrated Care Board,E54000050,North East and Cumbria
CA288JG,"West Cumberland Hospital, Whitehaven",West Cumberland Hospital,0,0,0,nearest,Copeland 003D,E01019285,NHS North East and North Cumbria ICB - 01H,E38000215,SICBL,England,NHS North East and North Cumbria Integrated Care Board,E54000050,North East and Cumbria
TS198PE,University Hospitals of North Tees and Hartlepool,University Hospitals of North Tees and Hartlepool,1,0,0,nearest,Stockton-on-Tees 009H,E01032544,NHS North East and North Cumbria ICB - 16C,E38000247,SICBL,England,NHS North East and North Cumbria Integrated Care Board,E54000050,North East and Cumbria
NE236NZ,"Northumbria Specialist Emergency Care Hospital, Cramlington",Northumbria Specialist Emergency Care Hospital HASU,1,0,0,nearest,Northumberland 031A,E01027394,NHS North East and North Cumbria ICB - 00L,E38000130,SICBL,England,NHS North East and North Cumbria Integrated Care Board,E54000050,North East and Cumbria
TS43BW,"James Cook University Hospital, Middlesbrough",James Cook University Hospital,1,1,0,nearest,Middlesbrough 011A,E01012018,NHS North East and North Cumbria ICB - 16C,E38000247,SICBL,England,NHS North East and North Cumbria Integrated Care Board,E54000050,North East and Cumbria
NE340PL,South Tyneside District Hospital,None (for 72h care),0,0,0,nearest,South Tyneside 011C,E01008592,NHS North East and North Cumbria ICB - 00N,E38000163,SICBL,England,NHS North East and North Cumbria Integrated Care Board,E54000050,North East and Cumbria
S752EP,Barnsley Hospital,Barnsley Hospital,0,0,0,nearest,Barnsley 012G,E01007446,NHS South Yorkshire ICB - 02P,E38000006,SICBL,England,NHS South Yorkshire Integrated Care Board,E54000061,South Yorkshire
BD96RJ,Bradford Royal Infirmary,Bradford and Airedale SU,1,0,0,nearest,Bradford 037B,E01010810,NHS West Yorkshire ICB - 36J,E38000232,SICBL,England,NHS West Yorkshire Integrated Care Board,E54000054,West Yorkshire and Harrogate
HX30PW,"Calderdale Royal Hospital, Halifax",Calderdale Royal Hospital,1,0,0,nearest,Calderdale 021C,E01010972,NHS West Yorkshire ICB - 02T,E38000025,SICBL,England,NHS West Yorkshire Integrated Care Board,E54000054,West Yorkshire and Harrogate
S445BL,Chesterfield Royal Hospital,Chesterfield Royal,1,0,0,nearest,Chesterfield 012G,E01019585,NHS Derby and Derbyshire ICB - 15M,E38000261,SICBL,England,NHS Derby and Derbyshire Integrated Care Board,E54000058,East Midlands
DN25LT,Doncaster Royal Infirmary,Doncaster Royal Infirmary,1,0,0,nearest,Doncaster 018D,E01007567,NHS South Yorkshire ICB - 02X,E38000044,SICBL,England,NHS South Yorkshire Integrated Care Board,E54000061,South Yorkshire
HG27SX,Harrogate District Hospital,Harrogate District Hospital,0,0,0,nearest,Harrogate 013A,E01027649,NHS Humber and North Yorkshire ICB - 42D,E38000241,SICBL,England,NHS Humber and North Yorkshire Integrated Care Board,E54000051,Humber Coast and Vale
HU32JZ,Hull Royal Infirmary,Hull Royal Infirmary,1,1,1,nearest,Kingston upon Hull 029D,E01012855,NHS Humber and North Yorkshire ICB - 03F,E38000085,SICBL,England,NHS Humber and North Yorkshire Integrated Care Board,E54000051,Humber Coast and Vale
LS13EX,Leeds General Infirmary,Leeds General Infirmary,1,1,1,nearest,Leeds 111A,E01033008,NHS West Yorkshire ICB - 15F,E38000225,SICBL,England,NHS West Yorkshire Integrated Care Board,E54000054,West Yorkshire and Harrogate
WF14DG,"Pinderfields Hospital, Wakefield",Pinderfields Hospital,1,0,0,nearest,Wakefield 017A,E01011884,NHS West Yorkshire ICB - 03R,E38000190,SICBL,England,NHS West Yorkshire Integrated Care Board,E54000054,West Yorkshire and Harrogate
DN157BH,Scunthorpe General Hospital,Scunthorpe General Hospital,1,0,0,nearest,North Lincolnshire 009C,E01013333,NHS Humber and North Yorkshire ICB - 03K,E38000122,SICBL,England,NHS Humber and North Yorkshire Integrated Care Board,E54000051,Humber Coast and Vale
S602UD,Rotherham General Hospital,Rotherham Hospital,0,0,0,nearest,Rotherham 023B,E01007678,NHS South Yorkshire ICB - 03L,E38000141,SICBL,England,NHS South Yorkshire Integrated Care Board,E54000061,South Yorkshire
S102JF,"Royal Hallamshire Hospital, Sheffield",Royal Hallamshire Hospital,1,1,1,nearest,Sheffield 030A,E01007866,NHS South Yorkshire ICB - 03N,E38000146,SICBL,England,NHS South Yorkshire Integrated Care Board,E54000061,South Yorkshire
YO318HE,York Hospital,York Hospital,1,0,0,nearest,York 009A,E01013343,NHS Humber and North Yorkshire ICB - 03Q,E38000188,SICBL,England,NHS Humber and North Yorkshire Integrated Care Board,E54000051,Humber Coast and Vale
KT160PZ,"St Peter's Hospital, Chertsey",St Peter's Hospital,1,0,0,nearest,Runnymede 008A,E01030677,NHS Surrey Heartlands ICB - 92A,E38000246,SICBL,England,NHS Surrey Heartlands Integrated Care Board,E54000052,Frimley ICS
RH164EX,"Princess Royal Hospital, Haywards Heath",Princess Royal Hospital Haywards Heath,0,0,0,nearest,Mid Sussex 011E,E01031756,NHS Sussex ICB - 70F,E38000248,SICBL,England,NHS Sussex Integrated Care Board,E54000053,Sussex
BN25BE,"Royal Sussex County Hospital, Brighton",Royal Sussex County Hospital,1,1,1,nearest,Brighton and Hove 031B,E01016862,NHS Sussex ICB - 09D,E38000021,SICBL,England,NHS Sussex Integrated Care Board,E54000053,Sussex
DA28DA,"Darent Valley Hospital, Dartford",Darent Valley Hospital,1,0,0,nearest,Dartford 008A,E01024133,NHS Kent and Medway ICB - 91Q,E38000237,SICBL,England,NHS Kent and Medway Integrated Care Board,E54000032,Kent and Medway
CT13NG,Kent and Canterbury Hospital,Invicta Ward Kent and Canterbury Hospital,1,0,0,nearest,Canterbury 016C,E01024046,NHS Kent and Medway ICB - 91Q,E38000237,SICBL,England,NHS Kent and Medway Integrated Care Board,E54000032,Kent and Medway
CT94AN,"Queen Elizabeth the Queen Mother Hospital, Margate",Queen Elizabeth the Queen Mother Hospital,0,0,0,nearest,Thanet 004D,E01024694,NHS Kent and Medway ICB - 91Q,E38000237,SICBL,England,NHS Kent and Medway Integrated Care Board,E54000032,Kent and Medway
TN240LZ,"William Harvey Hospital, Ashford",William Harvey Hospital,0,0,0,nearest,Ashford 006E,E01024004,NHS Kent and Medway ICB - 91Q,E38000237,SICBL,England,NHS Kent and Medway Integrated Care Board,E54000032,Kent and Medway
BN212UD,Eastbourne District General Hospital,Eastbourne District General Hospital,1,0,0,nearest,Eastbourne 008A,E01020948,NHS Sussex ICB - 97R,E38000235,SICBL,England,NHS Sussex Integrated Care Board,E54000053,Sussex
KT187EG,Epsom Hospital,Epsom Hospital,1,0,0,nearest,Epsom and Ewell 008D,E01030419,NHS Surrey Heartlands ICB - 92A,E38000246,SICBL,England,NHS Surrey Heartlands Integrated Care Board,E54000052,Frimley ICS
GU167UJ,Frimley Park Hospital,Frimley Park Hospital,1,0,0,nearest,Surrey Heath 010C,E01030768,NHS Frimley ICB - D4U1Y,E38000252,SICBL,England,NHS Frimley Integrated Care Board,E54000034,Frimley ICS
ME169QQ,Maidstone District General Hospital,Maidstone District General Hospital,1,0,0,nearest,Maidstone 008F,E01033088,NHS Kent and Medway ICB - 91Q,E38000237,SICBL,England,NHS Kent and Medway Integrated Care Board,E54000032,Kent and Medway
TN24QJ,Tunbridge Wells Hospital,None (for 72h care),0,0,0,nearest,Tunbridge Wells 004B,E01024825,NHS Kent and Medway ICB - 91Q,E38000237,SICBL,England,NHS Kent and Medway Integrated Care Board,E54000032,Kent and Medway
ME75NY,"Medway Maritime Hospital, Gillingham",Medway Maritime Hospital,0,0,0,nearest,Medway 016D,E01016048,NHS Kent and Medway ICB - 91Q,E38000237,SICBL,England,NHS Kent and Medway Integrated Care Board,E54000032,Kent and Medway
GU27XX,"Royal Surrey County Hospital, Guildford",None (for 72h care),0,0,0,nearest,Guildford 012A,E01030470,NHS Surrey Heartlands ICB - 92A,E38000246,SICBL,England,NHS Surrey Heartlands Integrated Care Board,E54000052,Frimley ICS
RH15RH,"East Surrey Hospital, Redhill",East Surrey Hospital,1,0,0,nearest,Reigate and Banstead 014C,E01030572,NHS Surrey Heartlands ICB - 92A,E38000246,SICBL,England,NHS Surrey Heartlands Integrated Care Board,E54000052,Frimley ICS
PO196SE,"St Richards Hospital, Chichester",St Richards Hospital,1,0,0,nearest,Chichester 008B,E01031483,NHS Sussex ICB - 70F,E38000248,SICBL,England,NHS Sussex Integrated Care Board,E54000053,Sussex
BN112DH,Worthing Hospital,Worthing Hospital,1,0,0,nearest,Worthing 011C,E01031789,NHS Sussex ICB - 70F,E38000248,SICBL,England,NHS Sussex Integrated Care Board,E54000053,Sussex
GL13NN,"Gloucestershire Royal Hospital, Gloucester",Gloucestershire Royal Hospital,1,0,0,nearest,Gloucester 002C,E01022311,NHS Gloucestershire ICB - 11M,E38000062,SICBL,England,NHS Gloucestershire Integrated Care Board,E54000043,"Gloucester, BSW, BNSSG and Somerset"
SN36BB,"Great Western Hospital, Swindon",Great Western Hospital Swindon,1,0,0,nearest,Swindon 025A,E01015583,"NHS Bath and North East Somerset, Swindon and Wiltshire ICB - 92G",E38000231,SICBL,England,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E54000040,"Gloucester, BSW, BNSSG and Somerset"
BS105NB,North Bristol Hospital (Southmead),North Bristol Hospitals,1,1,1,nearest,Bristol 004A,E01014631,"NHS Bristol, North Somerset and South Gloucestershire ICB - 15C",E38000222,SICBL,England,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",E54000039,"Gloucester, BSW, BNSSG and Somerset"
EX314JB,"North Devon District Hospital, Barnstaple",North Devon District Hospital,1,0,0,nearest,North Devon 007C,E01020134,NHS Devon ICB - 15N,E38000230,SICBL,England,NHS Devon Integrated Care Board,E54000037,"Devon, Cornwall and Isles of Scilly"
PL68DH,"Derriford Hospital, Plymouth",Derriford Hospital,1,1,1,nearest,Plymouth 005C,E01015092,NHS Devon ICB - 15N,E38000230,SICBL,England,NHS Devon Integrated Care Board,E54000037,"Devon, Cornwall and Isles of Scilly"
TR13LQ,"Royal Cornwall Hospital, Truro",Royal Cornwall Hospital,1,0,0,nearest,Cornwall 043C,E01018855,NHS Cornwall and the Isles of Scilly ICB - 11N,E38000089,SICBL,England,NHS Cornwall and the Isles of Scilly Integrated Care Board,E54000036,"Devon, Cornwall and Isles of Scilly"
EX25DW,Royal Devon and Exeter Hospital,Royal Devon and Exeter Hospital,1,0,0,nearest,Exeter 013C,E01020013,NHS Devon ICB - 15N,E38000230,SICBL,England,NHS Devon Integrated Care Board,E54000037,"Devon, Cornwall and Isles of Scilly"
BA13NG,Royal United Hospital Bath,Royal United Hospital Bath,1,0,0,nearest,Bath and North East Somerset 008B,E01014428,"NHS Bath and North East Somerset, Swindon and Wiltshire ICB - 92G",E38000231,SICBL,England,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E54000040,"Gloucester, BSW, BNSSG and Somerset"
